Symbol,Company Name,Industry,Market Cap
ACB,Aurora Cannabis,Pharmaceuticals,425778207
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,62598360
ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,18067115991
ACCD,Accolade,Health Care Technology,677913535
ACCO,ACCO Brands,Commercial Services & Supplies,678904128
ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,376687479
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1082541566
ACER,Acer Therapeutics,Pharmaceuticals,22620000
ACET,Adicet Bio,Health Care Providers & Services,666873331
ACEV,ACE Convergence Acquisition,Blank Check / SPAC,141894891
ACGL,Arch Capital Group,Insurance,16558740468
ACH,Aluminum Corporation of China,Metals & Mining,10493796349
ACHC,Acadia Healthcare Company,Health Care Providers & Services,7118114263
ACHL,Achilles Therapeutics,Biotechnology,105189174
ACHR,Archer Aviation,Aerospace & Defense,775699774
ACHV,Achieve Life Sciences,Biotechnology,50539303
ACI,Albertsons Companies,Grocery Stores,14049924070
ACII,Atlas Crest Investment II,Blank Check / SPAC,424781279
ACIU,AC Immune,Biotechnology,268591486
ACIW,ACI Worldwide,Software,3137128682
ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,158019875
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2112645064
ACLX,Arcellx,Biotechnology,938346859
ACM,AECOM,Construction & Engineering,9685078979
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,911678715
ACN,Accenture,IT Services,1.83137E+11
ACNB,ACNB Corporation,Banks,283239653
ACON,Aclarion,Health Information Services,6691309
ACOR,Acorda Therapeutics,Biotechnology,10925010
ACQR,Independence Holdings,Blank Check / SPAC,610587710
ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trust...,73350433
ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trust...,710965504
ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,418743740
ACRS,Aclaris Therapeutics,Pharmaceuticals,1022697984
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,32909849
ACST,Acasti Pharma,Pharmaceuticals,37958583
ACT,Enact Holdings,Insurance-Specialty,3637890302
ACTG,Acacia Research,Professional Services,215763691
ACU,Acme United,Commercial Services & Supplies,112660800
ACVA,ACV Auctions,Software-Application,1101212028
ACXP,Acurx Pharmaceuticals,Biotechnology,38487000
ADAG,Adagene,Biotechnology,77515558
ADAL,Anthemis Digital Acquisitions I,Blank Check / SPAC,301875000
ADAP,Adaptimmune Therapeutics,Biotechnology,293254399
ADBE,Adobe,Software,1.83437E+11
ADC,Agree Realty,Equity Real Estate Investment Trusts ...,5828911602
ADCT,ADC Therapeutics,Communications Equipment,553035578
ADER,26 Capital Acquisition,Blank Check / SPAC,338593750
ADES,Advanced Emissions Solutions,Chemicals,87651558
ADEX,Adit EdTech Acquisition,Blank Check / SPAC,339825019
ADGI,Adagio Therapeutics,Biotechnology,444447004
ADI,Analog Devices,Semiconductors & Semiconductor Equipment,84749172685
ADIL,Adial Pharmaceuticals,Pharmaceuticals,17726914
ADM,Archer-Daniels-Midland Company,Food Products,42551980018
ADMA,ADMA Biologics,Biotechnology,430010880
ADMP,Adamis Pharmaceuticals,Pharmaceuticals,56393608
ADN,Advent Technologies Holdings,Utilities-Renewable,146578639
ADNT,Adient,Auto Components,2969492985
ADOC,Edoc Acquisition,Blank Check / SPAC,56086927
ADP,Automatic Data Processing,IT Services,91227594664
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1243072632
ADRA,Adara Acquisition,Blank Check / SPAC,142671875
ADRT,Ault Disruptive Technologies,Blank Check / SPAC,144037500
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,346536090
ADSK,Autodesk,Software,42522304489
ADT,ADT Inc.,Commercial Services & Supplies,6389542393
ADTH,AdTheorent Holding Company,Advertising Agencies,240940640
ADTN,ADTRAN Holdings,Communications Equipment,1853283576
ADTX,Aditx,Biotechnology,7245578
ADUS,Addus HomeCare,Health Care Providers & Services,1505729466
ADV,Advantage Solutions,Advertising Agencies,1350054015
ADVM,Adverum Biotechnologies,Biotechnology,153094110
ADXN,Addex Therapeutics,Biotechnology,8966616
ADXS,Advaxis,Biotechnology,7300124
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",136408548
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,295650000
AEAE,AltEnergy Acquisition,Blank Check / SPAC,286637500
AEE,Ameren,Multi-Utilities,22796279736
AEG,Aegon,Insurance,8500478462
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,134233739
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,6077737
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,289689338
AEI,Alset EHome International,Real Estate-Development,33503648
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3143337900
AEL,American Equity Investment Life Holding Company,Insurance,3394007792
AEM,Agnico Eagle Mines,Metals & Mining,17556969434
AEMD,Aethlon Medical,Health Care Equipment & Supplies,18521334
AENZ,Aenza,Engineering & Construction,239324175
AEO,American Eagle Outfitters,Specialty Retail,2071782527
AEP,American Electric Power Company,Electric Utilities,49197514721
AER,AerCap Holdings,Trading Companies & Distributors,10716357624
AERC,AeroClean Technologies,Pollution & Treatment Controls,120714160
AERI,Aerie Pharmaceuticals,Pharmaceuticals,378773177
AES,The AES Corporation,Independent Power and Renewable Elect...,13357199360
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",62978207
AEVA,Aeva Technologies,Auto Parts,717286973
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",17979062
AEYE,AudioEye,Software,68366095
AEZS,AEterna Zentaris,Biotechnology,21847315
AFAC,Arena Fortify Acquisition,Blank Check / SPAC,216271864
AFAQ,AF Acquisition,Blank Check / SPAC,274680000
AFAR,Aura FAT Projects Acquisition,Blank Check / SPAC,143740800
AFBI,Affinity Bancshares,Banks,97913544
AFCG,AFC Gamma,REIT-Specialty,314306968
AFG,American Financial Group,Insurance,11339841500
AFIB,Acutus Medical,Medical Devices,37970643
AFL,Aflac,Insurance,36111888330
AFMD,Affimed,Biotechnology,446463839
AFRI,Forafric Global,Farm Products,251659215
AFRM,Affirm Holdings,IT Services,7495873518
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,302812490
AFYA,Afya Limited,Diversified Consumer Services,875924217
AG,First Majestic Silver,Metals & Mining,1723970173
AGAC,African Gold Acquisition,Blank Check / SPAC,508443740
AGBA,AGBA Acquisition,Blank Check / SPAC,53822191
AGCB,Altimeter Growth 2,Blank Check / SPAC,577486009
AGCO,AGCO Corporation,Machinery,7494623195
AGE,AgeX Therapeutics,Biotechnology,27698463
AGEN,Agenus,Biotechnology,758062141
AGFS,AgroFresh Solutions,Chemicals,89507040
AGFY,Agrify,Machinery,40153010
AGGR,Agile Growth,Blank Check / SPAC,380331230
AGI,Alamos Gold,Metals & Mining,2734931450
AGIL,AgileThought,Software-Application,229653983
AGIO,Agios Pharmaceuticals,Biotechnology,1095778040
AGL,agilon health,Medical Care Facilities,10221150205
AGLE,Aeglea Biotherapeutics,Biotechnology,25044019
AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1106648736
AGM.A,Federal Agricultural Mortgage,Credit Services,1092281724
AGMH,AGM Group Holdings,Capital Markets,44871380
AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6421627384
AGO,Assured Guaranty,Insurance,3656085448
AGR,Avangrid,Electric Utilities,17646809081
AGRI,AgriFORCE Growing Systems,Farm Products,31079220
AGRO,Adecoagro,Food Products,868374015
AGRX,Agile Therapeutics,Pharmaceuticals,15722741
AGS,PlayAGS,"Hotels, Restaurants & Leisure",172548480
AGTC,Applied Genetic Technologies,Biotechnology,25052587
AGTI,Agiliti,Health Information Services,2807370733
AGX,Argan,Construction & Engineering,511013145
AGYS,Agilysys,Software,1384634836
AHCO,AdaptHealth,Health Care Providers & Services,2820068853
AHG,Akso Health Group,Credit Services,25017507
AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1176536952
AHI,Advanced Human Imaging,Software-Application,14828505
AHPA,Avista Public Acquisition II,Blank Check / SPAC,290740125
AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,7665859
AHRN,Ahren Acquisition,Blank Check / SPAC,373872028
AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,290581466
AI,C3.ai,Software,1982274926
AIB,AIB Acquisition,Blank Check / SPAC,111846858
AIG,American International Group,Insurance,41233592298
AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,67859373
AIHS,Senmiao Technology,Consumer Finance,6287723
AIKI,AIkido Pharma,Biotechnology,30517373
AIM,AIM ImmunoTech,Biotechnology,35781943
AIMA,Aimfinity Investment I,Blank Check / SPAC,90712000
AIMC,Altra Industrial Motion,Machinery,2444921053
AIN,Albany International,Machinery,2589614835
AINC,Ashford,Capital Markets,43443688
AINV,Apollo Investment,Capital Markets,708868669
AIP,Arteris,Semiconductors,247528800
AIR,AAR Corp.,Aerospace & Defense,1498830427
AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,6777164278
AIRG,Airgain,"Electronic Equipment, Instruments & C...",81615492
AIRI,Air Industries Group,Aerospace & Defense,22573250
AIRS,AirSculpt Technologies,Medical Care Facilities,390037823
AIRT,Air T,Air Freight & Logistics,43712889
AIT,Applied Industrial Technologies,Trading Companies & Distributors,3664875957
AIU,Meta Data,Education & Training Services,19944478
AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,1169551871
AIZ,Assurant,Insurance,9300473796
AJG,Arthur J. Gallagher & Company,Insurance,35650641807
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3450480875
AJX,Great Ajax,Mortgage Real Estate Investment Trust...,242735433
AKA,a.k.a. Brands Holding,Internet Retail,258596543
AKAM,Akamai Technologies,IT Services,14858670079
AKAN,Akanda,Drug Manufacturers-Specialty & Generic,29915539
AKBA,Akebia Therapeutics,Biotechnology,73780263
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,290276700
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1584560381
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,1691208693
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,1670117239
AKRO,Akero Therapeutics,Biotechnology,405896063
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",221053052
AKTX,Akari Therapeutics,Pharmaceuticals,61129676
AKU,Akumin,Diagnostics & Research,45062607
AKUS,Akouos,Biotechnology,121191693
AKYA,Akoya Biosciences,Medical Instruments & Supplies,502948861
AL,Air Lease,Trading Companies & Distributors,3874487274
ALB,Albemarle,Chemicals,26651406320
ALBO,Albireo Pharma,Biotechnology,456910842
ALC,Alcon,Medical Instruments & Supplies,36301828070
ALCC,AltC Acquisition,Blank Check / SPAC,623512509
ALCO,Alico,Food Products,261439142
ALDX,Aldeyra Therapeutics,Biotechnology,288592415
ALE,ALLETE,Electric Utilities,3358350042
ALEC,Alector,Biotechnology,876781431
ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1336592500
ALF,"ALFI, Inc.",Software-Infrastructure,20923370
ALG,Alamo Group,Machinery,1460503695
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,4262539243
ALGN,Align Technology,Health Care Equipment & Supplies,19864504149
ALGS,Aligos Therapeutics,Biotechnology,58919375
ALGT,Allegiant Travel Company,Airlines,2112827864
ALHC,Alignment Healthcare,Health Care Providers & Services,2692755444
ALIM,Alimera Sciences,Pharmaceuticals,37185712
ALIT,Alight,Software-Application,4066260731
ALJJ,ALJ Regional Holdings,IT Services,86938039
ALK,Alaska Air Group,Airlines,5544482793
ALKS,Alkermes,Biotechnology,4766538218
ALKT,Alkami Technology,Software-Application,1227672444
ALL,The Allstate Corporation,Insurance,32096016343
ALLE,Allegion,Building Products,9044782027
ALLG,Allego,Auto Parts,992386556
ALLK,Allakos,Biotechnology,203029280
ALLO,Allogene Therapeutics,Biotechnology,1955831931
ALLR,Allarity Therapeutics,Biotechnology,10118797
ALLT,Allot,Software,197238351
ALLY,Ally Financial,Consumer Finance,10346796009
ALNA,Allena Pharmaceuticals,Biotechnology,13465625
ALNY,Alnylam Pharmaceuticals,Biotechnology,17058936799
ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,225224550
ALOT,AstroNova,"Technology Hardware, Storage & Periph...",86357828
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,191956990
ALPN,Alpine Immune Sciences,Biotechnology,250816703
ALPP,Alpine 4 Holdings,Metal Fabrication,132106695
ALR,AlerisLife,Medical Care Facilities,34829463
ALRM,Alarm.com Holdings,Software,3436489721
ALRN,Aileron Therapeutics,Biotechnology,17329141
ALRS,Alerus Financial,Diversified Financial Services,451707828
ALSA,Alpha Star Acquisition,Blank Check / SPAC,146461800
ALSN,Allison Transmission Holdings,Machinery,3815609583
ALT,Altimmune,Biotechnology,531166425
ALTG,Alta Equipment Group,Trading Companies & Distributors,354073118
ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",285933726
ALTR,Altair Engineering,Software,4337881560
ALTU,Altitude Acquisition,Blank Check / SPAC,374624990
ALV,Autoliv,Auto Components,7271979000
ALVO,Alvotech,Drug Manufacturers-Specialty & Generic,1889740030
ALVR,AlloVir,Biotechnology,303537181
ALX,Alexander's,Equity Real Estate Investment Trusts ...,1186882890
ALXO,ALX Oncology Holdings,Biotechnology,469864406
ALYA,Alithya Group,IT Services,204357807
ALZN,Alzamend Neuro,Biotechnology,84596871
AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4760447990
AMAL,Amalgamated Financial,Banks,659967038
AMAM,Ambrx Biopharma,Biotechnology,108048080
AMAO,American Acquisition Opportunity,Blank Check / SPAC,43535166
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,87864647606
AMBA,Ambarella,Semiconductors & Semiconductor Equipment,2881498056
AMBC,Ambac Financial Group,Insurance,532822005
AMBO,Ambow Education Holding,Diversified Consumer Services,9741592
AMBP,Ardagh Metal Packaging,Packaging & Containers,3831005946
AMC,AMC Entertainment Holdings,Entertainment,7653749748
AMCI,AMCI Acquisition II,Blank Check / SPAC,184124990
AMCR,Amcor,Containers & Packaging,19145289723
AMCX,AMC Networks,Media,1384992870
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,1.41859E+11
AME,AMETEK,Electrical Equipment,26670104538
AMED,Amedisys,Health Care Providers & Services,4175181247
AMEH,Apollo Medical Holdings,Health Care Providers & Services,2303975376
AMG,Affiliated Managers Group,Capital Markets,4700571532
AMGN,Amgen,Biotechnology,1.32866E+11
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,14452067308
AMK,AssetMark Financial Holdings,Capital Markets,1367376501
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,4582262767
AMLX,Amylyx Pharmaceuticals,Biotechnology,1242074482
AMN,AMN Healthcare Services,Health Care Providers & Services,5054911416
AMNB,American National Bankshares,Banks,371063027
AMOT,Allied Motion Technologies,Electrical Equipment,388465084
AMOV,America Movil,Wireless Telecommunication Services,60150427643
AMP,Ameriprise Financial,Capital Markets,27040780160
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,36884783
AMPG,AmpliTech Group,Communication Equipment,23014765
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1800843134
AMPI,Advanced Merger Partners,Blank Check / SPAC,353265625
AMPL,Amplitude,Software-Application,1735251200
AMPS,Altus Power,Utilities-Renewable,1029598400
AMPY,Amplify Energy,Oil & Gas E&P,248742859
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",2729045438
AMRC,Ameresco,Construction & Engineering,2409118453
AMRK,A-Mark Precious Metals,Diversified Financial Services,673341120
AMRN,Amarin,Biotechnology,531990720
AMRS,Amyris,Chemicals,585076607
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,1008736893
AMS,American Shared Hospital Services,Health Care Providers & Services,13860119
AMSC,American Superconductor,Electrical Equipment,138664062
AMSF,AMERISAFE,Insurance,925060799
AMST,Amesite,Software-Application,11458431
AMSWA,American Software,Software,577746479
AMT,American Tower,Equity Real Estate Investment Trusts ...,1.198E+11
AMTB,Amerant Bancorp,Banks,913197180
AMTD,AMTD International,Asset Management,3113841151
AMTI,Applied Molecular Transport,Biotechnology,80400736
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",189497852
AMWD,American Woodmark,Building Products,795165312
AMWL,American Well,Health Information Services,1220692477
AMX,America Movil,Wireless Telecommunication Services,59150929902
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,478484414
AMZN,Amazon.com,Internet & Direct Marketing Retail,1.23253E+12
AN,AutoNation,Specialty Retail,6652515282
ANAB,AnaptysBio,Biotechnology,606282989
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,388987008
ANDE,The Andersons,Food & Staples Retailing,1109623934
ANEB,Anebulo Pharmaceuticals,Biotechnology,69800351
ANET,Arista Networks,Communications Equipment,31793258413
ANF,Abercrombie & Fitch Company,Specialty Retail,923682684
ANGH,Anghami,Entertainment,79317381
ANGI,Angi Inc.,Interactive Media & Services,2582032637
ANGN,Angion Biomedica,Biotechnology,29584315
ANGO,AngioDynamics,Health Care Equipment & Supplies,867898615
ANIK,Anika Therapeutics,Biotechnology,327092311
ANIP,ANI Pharmaceuticals,Pharmaceuticals,579646713
ANIX,Anixa Biosciences,Biotechnology,102991983
ANNX,Annexon,Biotechnology,238088495
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,11326596
ANSS,ANSYS,Software,22436487107
ANTE,AirNet Technology,Media,47117004
ANTX,AN2 Therapeutics,Biotechnology,149788828
ANVS,Annovis Bio,Biotechnology,95926060
ANY,Sphere 3D,Software,42451791
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,521953115
AOGO,Arogo Capital Acquisition,Blank Check / SPAC,116596906
AOMR,Angel Oak Mortgage,REIT-Mortgage,375405138
AON,Aon plc,Insurance,59713888251
AORT,Artivion,Medical Devices,803227968
AOS,A. O. Smith,Building Products,9191932911
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1015880767
AOUT,American Outdoor Brands,Leisure Products,107219605
AP,Ampco-Pittsburgh,Metals & Mining,79448661
APA,APA Corporation,"Oil, Gas & Consumable Fuels",11645327346
APAC,Stonebridge Acquisition,Blank Check / SPAC,250500010
APAM,Artisan Partners Asset Management,Capital Markets,2554410995
APCA,AP Acquisition,Blank Check / SPAC,172505862
APCX,AppTech Payments,Software-Infrastructure,10913519
APD,Air Products & Chemicals,Chemicals,52163227565
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",6126976
APEI,American Public Education,Diversified Consumer Services,301136692
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,218962176
APG,APi Group,Construction & Engineering,3835959033
APGB,Apollo Strategic Growth Capital II,Shell Companies,849562559
APH,Amphenol,"Electronic Equipment, Instruments & C...",41554829244
API,Agora,"Electronic Equipment, Instruments & C...",601370495
APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,3650779390
APLS,Apellis Pharmaceuticals,Biotechnology,5788405208
APLT,Applied Therapeutics,Biotechnology,27024005
APM,Aptorum Group,Biotechnology,47128356
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,181500000
APN,Apeiron Capital Investment,Blank Check / SPAC,216271864
APO,Apollo Global Management,Capital Markets,32424001513
APOG,Apogee Enterprises,Building Products,896907263
APP,AppLovin,Software-Application,13292097535
APPF,AppFolio,Software,3425415370
APPH,AppHarvest,Food Products,404905311
APPN,Appian,Software,3590636004
APPS,Digital Turbine,Software,1898766844
APRE,Aprea Therapeutics,Biotechnology,26672807
APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,101731944
APT,Alpha Pro Tech,Building Products,59918628
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,352007065
APTO,Aptose Biosciences,Biotechnology,73165079
APTV,Aptiv,Auto Components,26516019123
APTX,Aptinyx,Biotechnology,41983731
APVO,Aptevo Therapeutics,Biotechnology,20980335
APWC,Asia Pacific Wire & Cable,Electrical Equipment,25357926
APXI,APx Acquisition I,Blank Check / SPAC,216271864
APYX,Apyx Medical,Health Care Equipment & Supplies,318876156
AQB,AquaBounty Technologies,Biotechnology,109508927
AQMS,Aqua Metals,Commercial Services & Supplies,65591839
AQN,Algonquin Power & Utilities,Multi-Utilities,9185300475
AQST,Aquestive Therapeutics,Pharmaceuticals,42407215
AQUA,Evoqua Water Technologies,Machinery,4332229117
AR,Antero Resources,"Oil, Gas & Consumable Fuels",12185198588
ARAV,Aravive,Biotechnology,24818325
ARAY,Accuray,Health Care Equipment & Supplies,188388463
ARBE,Arbe Robotics,Software-Infrastructure,310022300
ARBG,Aequi Acquisition,Blank Check / SPAC,284912470
ARBK,Argo Blockchain,Capital Markets,222666445
ARC,ARC Document Solutions,Commercial Services & Supplies,112946703
ARCB,ArcBest,Road & Rail,1967060467
ARCC,Ares Capital,Capital Markets,9507250168
ARCE,Arco Platform,Diversified Consumer Services,787391931
ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",2192992664
ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,217350000
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1429145599
ARCT,Arcturus Therapeutics Holdings,Biotechnology,443310836
ARDS,Aridis Pharmaceuticals,Biotechnology,20356840
ARDX,Ardelyx,Biotechnology,96881335
ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts ...,24530032618
AREC,American Resources,"Oil, Gas & Consumable Fuels",134392703
AREN,Arena Group Holdings,Internet Content & Information,184673097
ARES,Ares Management,Capital Markets,19146440647
ARGO,Argo Group International Holdings,Insurance,1171449214
ARGU,Argus Capital,Blank Check / SPAC,380937980
ARGX,Argenx SE,Biotechnology,20750567111
ARHS,Arhaus,Home Improvement Retail,736731453
ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trust...,1625232121
ARIS,Aris Water Solutions,Utilities-Regulated Water,1685144695
ARIZ,Arisz Acquisition,Blank Check / SPAC,88123751
ARKO,ARKO Corp.,Specialty Retail,1096600440
ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",70656022
ARL,American Realty Investors,Real Estate Management & Development,246964080
ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",628005753
ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",2721972978
ARMK,Aramark,"Hotels, Restaurants & Leisure",8269686247
ARMP,Armata Pharmaceuticals,Biotechnology,148420735
ARNC,Arconic,Aerospace & Defense,3083603454
AROC,Archrock,Energy Equipment & Services,1278971641
AROW,Arrow Financial,Banks,525047061
ARQQ,Arqit Quantum,Software,726678971
ARQT,Arcutis Biotherapeutics,Biotechnology,1118855680
ARR,ARMOUR Residential REIT,Mortgage Real Estate Investment Trust...,785160571
ARRW,Arrowroot Acquisition,Blank Check / SPAC,352906230
ARRY,Array Technologies,Solar,1838142073
ARTE,Artemis Strategic Investment,Shell Companies,251058856
ARTL,Artelo Biosciences,Pharmaceuticals,15074015
ARTNA,Artesian Resources,Water Utilities,479748785
ARTW,Art's-Way Manufacturing Co.,Machinery,9929814
ARVL,Arrival,Automobiles,982948095
ARVN,Arvinas,Pharmaceuticals,2647135189
ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",7935666169
ARWR,Arrowhead Pharmaceuticals,Biotechnology,4408133631
ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,188987034
ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,187452105
ASA,ASA Gold and Precious Metals,Capital Markets,261956842
ASAI,Sendas Distribuidora,Food & Staples Retailing,3898840311
ASAN,Asana,Software,3340947952
ASAQ,Atlantic Street Acquisition,Blank Check / SPAC,310937500
ASAX,Astrea Acquisition,Blank Check / SPAC,217069375
ASB,Associated Banc-Corp,Banks,3035547639
ASC,Ardmore Shipping,"Oil, Gas & Consumable Fuels",279008120
ASCA,A SPAC I Acquisition,Blank Check / SPAC,86331420
ASCB,A SPAC II Acquisition,Blank Check / SPAC,250368800
ASGN,ASGN Incorporated,Professional Services,4946480096
ASH,Ashland Global Holdings,Chemicals,5683655643
ASIX,AdvanSix,Chemicals,1042351397
ASLE,AerSale,Airports & Air Services,864225015
ASLN,ASLAN Pharmaceuticals,Biotechnology,31329319
ASM,Avino Silver & Gold Mines,Metals & Mining,65889272
ASMB,Assembly Biosciences,Biotechnology,108004957
ASML,ASML Holding,Semiconductors & Semiconductor Equipment,2.15014E+11
ASND,Ascendis Pharma,Biotechnology,4957102566
ASNS,Actelis Networks,Biotechnology,23936514
ASO,Academy Sports and Outdoors,Specialty Retail,3648950784
